Skill,Primary object,Related / used objects,Required params,Field / parameter help (what each field means),What the user can expect (help text)
add_campaign_member,Campaign,"Campaign, Contact, Lead",CampaignId,"CampaignId (string, REQUIRED): Parent Campaign Id (CampaignMember.CampaignId). Create a CampaignMember under this campaign — do NOT pass CampaignMember Id. | ContactId (string, optional): Contact to enroll (CampaignMember.ContactId). Use ContactId OR LeadId, not both. | LeadId (string, optional): Lead to enroll (CampaignMember.LeadId). Use LeadId OR ContactId, not both. | Status (string, optional): Optional CampaignMember.Status picklist API value (e.g. Sent, Responded).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_case_comment,Case,"Case, User","ParentId, CommentBody","ParentId (string, REQUIRED): Case Id to comment on (CaseComment.ParentId). Not the CaseComment Id. | CommentBody (string, REQUIRED): Text of the public case comment — must be confirmed with the user. | IsPublished (boolean, optional): Optional. Defaults true (visible to customer portal when applicable).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_case_team_member,Case,"Case, User","CaseId, UserId","CaseId (string, REQUIRED): Salesforce case id. | UserId (string, REQUIRED): | TeamRole (string, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_cpq_quote_line,Quote,Quote,SBQQ__Quote__c,"SBQQ__Quote__c (string, REQUIRED): Parent CPQ Quote Id (SBQQ__QuoteLine__c.SBQQ__Quote__c). Not the quote-line Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_opportunity_contact_role,Contact,"Contact, Opportunity","OpportunityId, ContactId, Role","OpportunityId (string, REQUIRED): Opportunity Id (OpportunityContactRole.OpportunityId). | ContactId (string, REQUIRED): Contact Id (OpportunityContactRole.ContactId). | Role (string, REQUIRED): OCR Role picklist API value (e.g. Decision Maker). | IsPrimary (boolean, optional): Optional. OpportunityContactRole.IsPrimary.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Contact. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_opportunity_line_item,Opportunity,"Opportunity, Pricebook2 / PricebookEntry, Product2","OpportunityId, Quantity, UnitPrice","OpportunityId (string, REQUIRED): Parent Opportunity Id (OpportunityLineItem.OpportunityId). Not the line-item Id. | PricebookEntryId (string, optional): Optional. PricebookEntry Id. Use when already known. | Name (string, optional): Optional. Product name resolved to an active PricebookEntry on the Opportunity price book. | Quantity (number, REQUIRED): Quantity of the product (must be > 0). OpportunityLineItem.Quantity. | UnitPrice (number, REQUIRED): Unit price for the line item (OpportunityLineItem.UnitPrice).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_opportunity_partner,Opportunity,"Account, Opportunity",OpportunityId,"OpportunityId (string, REQUIRED): Salesforce opportunity id. | AccountId (string, optional): | Role (string, optional): Partner role for the opportunity-account relationship.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_opportunity_team_member,Opportunity,"Opportunity, User","OpportunityId, UserId","OpportunityId (string, REQUIRED): Salesforce opportunity id. | UserId (string, REQUIRED): | TeamRole (string, optional):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_order_item,Order,Order,OrderId,"OrderId (string, REQUIRED): Parent Order Id (OrderItem.OrderId). Not the OrderItem Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Order. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
add_quote_line_item,Quote,Quote,QuoteId,"QuoteId (string, REQUIRED): Parent Quote Id (QuoteLineItem.QuoteId). Not the line-item Id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
assign_to_queue,Group (Queue) / Case,Group (Queue) / Case,"Id, OwnerId","Id (string, REQUIRED): Salesforce record id. | OwnerId (string, REQUIRED):",As a user: ask the agent in plain language (or pass JSON params). Primary object: Group (Queue) / Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
calculate_cpq_quote,Quote,Quote,Id,"Id (string, REQUIRED): Salesforce cpq quote id.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Quote. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
clone_opportunity,Opportunity,Opportunity,Id,"Id (string, REQUIRED): Opportunity Id to clone (primary Id of the source Opportunity). | Name (string, optional): Optional name for the clone (defaults to source Name + Copy).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Opportunity. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
close_case,Case,"Case, User",Id,"Id (string, REQUIRED): Case Id to close (primary Id of Case). | Status (string, optional): Optional. Case.Status picklist closed value (default Closed). Use org closed values such as Closed, Resolved. | Reason (string, optional): Optional. Case.Reason picklist API value at closure (e.g. User error, Other). | Comments (string, optional): Optional. Public CaseComment.CommentBody to post at closure.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
complete_task,Task,Task,Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Task to mark Completed.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
convert_lead,Lead,"Account, Lead, Opportunity",Id,"Id (string, REQUIRED): ONLY the Salesforce Id of the Lead to convert. | AccountId (string, optional): Optional. The Salesforce Id of an EXISTING Account to merge the Lead into. | opportunityName (string, optional): Optional. Name for the Opportunity that will be created. | doNotCreateOpportunity (boolean, optional): Optional. If true, no Opportunity is created during conversion. Default false.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Lead. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_account,Account,Account,Name,"Name (string, REQUIRED): REQUIRED. The Account Name (e.g. ""Acme Corporation""). This is the only mandatory parameter for creating an Account — do not invoke this skill without it. | fields (object, optional): Optional. Map of additional Account field API names to their values — Industry, Type, AnnualRevenue, NumberOfEmployees, Phone, Website, BillingStreet, BillingCity, BillingState, BillingPostalCode, BillingCountry, Description, Rating, custom fields, etc. Do NOT put ""Name"" here — pass it at the top level. Numbers as numbers, booleans as true/false, picklist values as the exact API value.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Account. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_campaign,Campaign,Campaign,Name,"Name (string, REQUIRED): REQUIRED. Campaign Name (org field). | Status (string, optional): Campaign Status picklist API value. | Type (string, optional): Campaign Type picklist API value. | StartDate (string, optional): Campaign StartDate (yyyy-MM-dd). | EndDate (string, optional): Campaign EndDate (yyyy-MM-dd).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Campaign. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_care_task,Task,Task,"WhatId, Subject","WhatId (string, REQUIRED): Care Plan (or related) record Id for Task.WhatId — parent, not the task Id. | Subject (string, REQUIRED): Task.Subject (required). | Status (string, optional): Optional Task.Status (default Not Started). | Priority (string, optional): Optional Task.Priority (default Normal). | Description (string, optional): Optional Task.Description. | ActivityDate (string, optional): Optional Task.ActivityDate (yyyy-MM-dd).",As a user: ask the agent in plain language (or pass JSON params). Primary object: Task. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
create_case,Case,"Account, Case, Contact",fields,"fields (object, REQUIRED): Map of Case field API names to values. MUST include ""Subject"". May include Description, Status, Priority, Type, Origin, Reason, AccountId, ContactId, OwnerId and custom fields.",As a user: ask the agent in plain language (or pass JSON params). Primary object: Case. Prefer names / CaseNumber when you do not know Salesforce Ids. Mutating skills usually need a confirmation step first.
