Skill,Status,Primary object,Request (JSON),Response (summary),What happened,Next step / what needs to be done,HTTP,Elapsed (s)
add_campaign_member,pass,Campaign,"{ ""CampaignId"": ""E2E Skill Test Campaign"", ""CampaignName"": ""E2E Skill Test Campaign"", ""ContactId"": ""003QH00000RY8OcYAL"", ""ContactName"": ""Sam E2EContactB"", ""Status"": ""Sent"" }","<div>✅ <b>Campaign Member Added</b><ul><li><b>Campaign member added</b></li><li><b>Member type:</b> Contact</li><li><b>Status:</b> Sent</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/CampaignMember/00vQH00000IZCFFYA5/view"" target=""_blank""><b>View Member</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.9
add_case_comment,pass,Case,"{ ""CaseNumber"": ""00001037"", ""Subject"": ""E2E Skill Test Case"", ""CommentBody"": ""E2E seeded case comment"", ""IsPublished"": true, ""ParentId"": ""500QH00000VaKnyYAF"" }","<div>✅ <b>Case Comment Added</b><ul><li><b>Case #:</b> 00001037</li><li><b>Comment:</b> E2E seeded case comment</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Case/500QH00000VaKnyYAF/view"" target=""_blank""><b>View Case</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.52
add_case_team_member,pass,Case,"{ ""CaseNumber"": ""00001039"", ""Subject"": ""E2E Skill Test Case Open"", ""CaseId"": ""500QH00000VaSggYAF"", ""UserId"": ""005QH00000Ahc4IYAR"", ""user_id"": ""005QH00000Ahc4IYAR"", ""team_role_id"": ""0B7QH0000005bDR0AY"", ""TeamRoleId"": ""0B7QH0000005bDR0AY"" }","{ ""status"": ""Success"", ""message"": """", ""data"": { ""recordId"": ""0B6QH00000015450AA"", ""message"": ""✅ Case Team Member Added Case #: 00001039 👉 View Team Member"", ""success"": true } }",Skill executed successfully (Apex business success).,—,200,0.84
add_cpq_quote_line,fail_missing_feature,Quote,{},<div>⚠️ <b>Could not add CPQ quote line</b><br/>Salesforce CPQ is not installed or SBQQ__Quote__c / SBQQ__QuoteLine__c are not accessible in this org.</div>,Feature / package not available in this org (expected N/A until enabled).,Install Salesforce CPQ (SteelBrick / SBQQ) and grant CPQ licenses and object permissions; re-run this skill after SBQQ__Quote__c is available.,200,0.44
add_opportunity_contact_role,pass,Contact,"{ ""OpportunityId"": ""006QH00000Kz5M9YAJ"", ""ContactId"": ""003QH00000RY8OcYAL"", ""Role"": ""Evaluator"" }","<div>✅ <b>Contact Role Added</b><ul><li><b>Role:</b> Evaluator</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/OpportunityContactRole/00KQH00000Hd2BR2AZ/view"" target=""_blank""><b>View Contact Role</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.74
add_opportunity_line_item,pass,Opportunity,"{ ""OpportunityId"": ""006QH00000Kz5M9YAJ"", ""PricebookEntryId"": ""01uQH000003sGBCYA2"", ""Quantity"": 1, ""UnitPrice"": 100 }","<div>✅ <b>Product Added to Opportunity</b><ul><li><b>Quantity:</b> 1</li><li><b>Unit Price:</b> 100</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/OpportunityLineItem/00kQH00000BVrGDYA1/view"" target=""_blank""><b>View Line Item</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.8
add_opportunity_partner,pass,Opportunity,"{ ""OpportunityId"": ""006QH00000Kz5M9YAJ"", ""AccountId"": ""001QH00002FpdMKYAZ"", ""AccountToId"": ""001QH00002FpdMKYAZ"", ""Role"": ""Agency"" }","<div>✅ <b>Opportunity Partner Added</b><ul><li><b>Opportunity:</b> 006QH00000Kz5M9YAJ</li><li><b>Partner Account:</b> 001QH00002FpdMKYAZ</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/Partner/00IQH000002HyGL2A0/view"" target=""_blank""><b>View Partner Role</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.86
add_opportunity_team_member,fail_missing_feature,Opportunity,"{ ""OpportunityId"": ""006QH00000Kz5M9YAJ"", ""opportunity_id"": ""006QH00000Kz5M9YAJ"", ""UserId"": ""005QH00000Ahc4IYAR"", ""user_id"": ""005QH00000Ahc4IYAR"", ""TeamMemberRole"": ""Account Manager"", ""team_member_role"": ""Account Manager"", ""Role"": ""Account Manager"" }",<div>⚠️ <b>Could not add team member</b><br/>OpportunityTeamMember is not creatable (Team Selling may be disabled).</div>,Feature / package not available in this org (expected N/A until enabled).,"Enable Team Selling (Setup → Opportunity Team Settings / Team Selling), ensure OpportunityTeamMember is creatable, then re-run.",200,0.43
add_order_item,pass,Order,"{ ""OrderId"": ""801QH00002FpyoTYAR"", ""PricebookEntryId"": ""01uQH000003sGBCYA2"", ""Quantity"": 1, ""UnitPrice"": 25 }","<div>✅ <b>Order Item Added</b><ul><li><b>Quantity:</b> 1</li><li><b>Unit Price:</b> 25</li></ul><br/>👉 <a href=""https://masterdev4-dev-ed.develop.my.salesforce.com/lightning/r/OrderItem/802QH00000Olh5JYAR/view"" target=""_blank""><b>View Order Item</b></a></div>",Skill executed successfully (Apex business success).,—,200,0.54
add_quote_line_item,fail_data,Quote,"{ ""Quantity"": 1, ""UnitPrice"": 10, ""PricebookEntryId"": ""01uQH000003sGBCYA2"" }",<div>⚠️ <b>Could not add quote line item</b><br/>Missing parameter: QuoteId</div>,Data / seed or missing parameter issue: <div>⚠️ <b>Could not add quote line item</b><br/>Missing parameter: QuoteId</div>,"Enable Salesforce Quotes (Setup → Feature Settings → Sales → Quotes → Enable Quotes), create a seed Quote (with Pricebook and optional line items), then re-run.",200,0.68
